Block,Treatment,Mesocosm,ID,Molt1Day,Molt2Day,Molt3Day,Molt4Day,Molt5Day,MoltCount,AdulthoodDay,Survival,Death_Day,Thorax_Width1,Mass1,Ambient_Date,Thorax_Width2,Mass2,Disp_Date,Disp_Count,Dispersed
1,22,17,225,,,,,,0,,0,7,,,,,,,,
1,22,17,226,,,,,,0,,0,7,,,,,,,,
1,22,17,227,7,16,25,,,3,,0,38,,,,,,,,
1,22,17,228,7,21,,,,2,,0,41,,,,,,,,
1,22,17,229,5,,,,,1,,0,20,,,,,,,,
1,22,17,230,2,9,22,,,3,,0,38,,,,,,,,
1,22,17,232,7,22,46,,,3,46,1,,3.51,0.061,23-Aug-24,3.45,0.066,02-Sep-24,0,0
1,22,17,235,7,18,,,,2,,0,43,,,,,,,,
1,22,17,236,3,9,17,,,3,,0,34,,,,,,,,
1,22,17,238,7,19,,,,2,40,1,,3.64,0.059,19-Aug-24,3.56,0.059,27-Aug-24,0,0
1,24,24,324,1,7,,,,2,,0,13,,,,,,,,
1,24,24,325,,,,,,0,,0,3,,,,,,,,
1,24,24,326,6,,,,,1,,0,23,,,,,,,,
1,24,24,327,5,21,,,,2,,0,22,,,,,,,,
1,24,24,329,1,,,,,1,,0,9,,,,,,,,
1,24,24,331,5,22,,,,2,,0,23,,,,,,,,
1,24,24,332,,,,,,0,,0,20,,,,,,,,
1,24,24,333,3,20,,,,2,,0,22,,,,,,,,
1,24,24,334,,,,,,0,,0,3,,,,,,,,
1,24,24,335,5,,,,,1,,0,8,,,,,,,,
1,26,16,211,,,,,,0,,0,14,,,,,,,,
1,26,16,212,3,4,5,18,38,5,38,1,,3.55,0.06,19-Aug-24,3.63,0.069,27-Aug-24,0,0
1,26,16,213,2,16,,,,2,,0,18,,,,,,,,
1,26,16,214,4,,,,,1,,0,17,,,,,,,,
1,26,16,217,2,7,15,,,3,,0,22,,,,,,,,
1,26,16,218,3,12,,,,2,,0,29,,,,,,,,
1,26,16,220,2,6,14,,,3,,0,33,,,,,,,,
1,26,16,221,3,9,,,,2,,0,19,,,,,,,,
1,26,16,223,,,,,,0,,0,5,,,,,,,,
1,26,16,224,12,,,,,1,,0,34,,,,,,,,
1,28,3,29,4,,,,,1,,0,7,,,,,,,,
1,28,3,30,5,14,,,,2,,0,29,,,,,,,,
1,28,3,32,4,,,,,1,,0,7,,,,,,,,
1,28,3,33,4,,,,,1,,0,7,,,,,,,,
1,28,3,34,4,,,,,1,,0,7,,,,,,,,
1,28,3,37,,,,,,0,,0,3,,,,,,,,
1,28,3,38,3,,,,,1,,0,7,,,,,,,,
1,28,3,39,3,,,,,1,,0,9,,,,,,,,
1,28,3,41,2,,,,,1,,0,6,,,,,,,,
1,28,3,42,5,13,,,,2,40,1,,3.88,0.068,19-Aug-24,3.7,0.069,10-Sep-24,0,0
1,28,33,449,4,7,,,,2,,0,11,,,,,,,,
1,28,33,450,3,,,,,1,,0,11,,,,,,,,
1,28,33,451,2,8,15,,,3,,0,33,,,,,,,,
1,28,33,452,1,7,21,,,3,,0,21,,,,,,,,
1,28,33,454,5,,,,,1,,0,7,,,,,,,,
1,28,33,455,4,,,,,1,,0,5,,,,,,,,
1,28,33,457,3,,,,,1,,0,12,,,,,,,,
1,28,33,459,3,15,,,,2,,0,29,,,,,,,,
1,28,33,460,1,5,,,,2,,0,17,,,,,,,,
1,28,33,461,5,,,,,1,,0,10,,,,,,,,
1,30,13,169,3,10,,,,2,,0,12,,,,,,,,
1,30,13,171,4,,,,,1,,0,7,,,,,,,,
1,30,13,172,,,,,,0,,0,6,,,,,,,,
1,30,13,174,3,,,,,1,,0,7,,,,,,,,
1,30,13,175,,,,,,0,,0,3,,,,,,,,
1,30,13,176,4,,,,,1,,0,7,,,,,,,,
1,30,13,177,4,,,,,1,,0,7,,,,,,,,
1,30,13,179,2,6,15,,,3,,0,15,,,,,,,,
1,30,13,180,,,,,,0,,0,3,,,,,,,,
1,30,13,182,4,,,,,1,,0,5,,,,,,,,
1,30,21,282,2,,,,,1,,0,4,,,,,,,,
1,30,21,284,2,6,,,,2,,0,7,,,,,,,,
1,30,21,285,3,,,,,1,,0,6,,,,,,,,
1,30,21,286,5,,,,,1,,0,7,,,,,,,,
1,30,21,287,4,,,,,1,,0,7,,,,,,,,
1,30,21,289,3,,,,,1,,0,7,,,,,,,,
1,30,21,290,3,,,,,1,,0,7,,,,,,,,
1,30,21,291,4,,,,,1,,0,6,,,,,,,,
1,30,21,292,,,,,,0,,0,6,,,,,,,,
1,30,21,293,,,,,,0,,0,3,,,,,,,,
2,22,32,435,,,,,,0,,0,8,,,,,,,,
2,22,32,437,1,8,20,,,3,42,1,,3.59,0.063,20-Aug-24,3.52,0.065,02-Sep-24,0,0
2,22,32,438,7,,,,,1,,0,17,,,,,,,,
2,22,32,439,,,,,,0,,0,8,,,,,,,,
2,22,32,441,,,,,,0,,0,7,,,,,,,,
2,22,32,443,2,,,,,1,,0,10,,,,,,,,
2,22,32,444,6,24,,,,2,,0,44,,,,,,,,
2,22,32,446,7,17,38,,,3,38,1,,3.75,0.071,19-Aug-24,3.65,0.07,27-Aug-24,0,0
2,22,32,447,2,,,,,1,,0,8,,,,,,,,
2,22,32,448,3,,,,,1,,0,6,,,,,,,,
2,24,10,128,4,11,18,45,,4,45,1,,3.7,0.07,23-Aug-24,3.74,0.085,02-Sep-24,0,0
2,24,10,129,15,,,,,1,,0,32,,,,,,,,
2,24,10,130,5,13,33,,,3,33,1,,3.77,0.069,19-Aug-24,3.72,0.069,27-Aug-24,0,0
2,24,10,131,4,14,,,,2,,0,26,,,,,,,,
2,24,10,132,7,9,18,,,3,,0,34,,,,,,,,
2,24,10,134,5,,,,,1,,0,9,,,,,,,,
2,24,10,135,3,6,,,,2,,0,9,,,,,,,,
2,24,10,136,7,7,17,34,,4,34,1,,3.54,0.061,19-Aug-24,3.6,0.062,27-Aug-24,1,1
2,24,10,137,4,,,,,1,,0,9,,,,,,,,
2,24,10,139,6,16,,,,2,,0,34,,,,,,,,
2,24,31,432,19,,,,,1,,0,40,,,,,,,,
2,24,31,421,2,,,,,1,,0,3,,,,,,,,
2,24,31,423,3,8,10,,,3,,0,11,,,,,,,,
2,24,31,424,2,7,,,,2,51,0,63,3.3,0.055,29-Aug-24,,,,,
2,24,31,425,2,10,,,,2,,0,13,,,,,,,,
2,24,31,426,,,,,,0,,0,8,,,,,,,,
2,24,31,427,1,4,15,,,3,,0,40,,,,,,,,
2,24,31,428,5,20,,,,2,39,0,49,3.66,0.065,19-Aug-24,,,,,
2,24,31,429,1,20,23,44,,4,44,1,,3.47,0.07,22-Aug-24,3.83,0.079,02-Sep-24,0,0
2,24,31,433,3,,,,,1,,0,22,,,,,,,,
2,26,11,141,2,8,18,,,3,,0,35,,,,,,,,
2,26,11,142,5,38,41,,,3,38,0,41,3.43,0.058,,,,,,
2,26,11,143,3,12,,,,2,,0,33,,,,,,,,
2,26,11,144,1,7,14,,,3,,0,26,,,,,,,,
2,26,11,146,,,,,,0,,0,6,,,,,,,,
2,26,11,148,1,6,16,34,,4,34,0,36,3.49,0.058,,,,,,
2,26,11,149,3,,,,,1,,0,6,,,,,,,,
2,26,11,152,5,13,,,,2,,0,33,,,,,,,,
2,26,11,153,4,16,,,,2,,0,19,,,,,,,,
2,26,11,154,5,10,21,37,,4,37,0,40,3.34,0.068,,,,,,
2,28,1,1,5,,,,,1,,0,7,,,,,,,,
2,28,1,4,4,9,16,,,3,,0,37,,,,,,,,
2,28,1,6,,,,,,0,,0,7,,,,,,,,
2,28,1,7,4,,,,,1,,0,6,,,,,,,,
2,28,1,8,5,,,,,1,,0,6,,,,,,,,
2,28,1,9,3,5,,,,2,,0,6,,,,,,,,
2,28,1,10,3,8,15,,,3,,0,33,,,,,,,,
2,28,1,11,3,14,,,,2,,0,6,,,,,,,,
2,28,1,13,1,5,,,,2,,0,28,,,,,,,,
2,28,1,14,4,14,,,,2,,0,14,,,,,,,,
2,28,18,239,2,12,,,,2,,0,13,,,,,,,,
2,28,18,240,3,8,,,,2,,0,12,,,,,,,,
2,28,18,241,4,,,,,1,,0,5,,,,,,,,
2,28,18,242,,,,,,0,,0,6,,,,,,,,
2,28,18,243,5,,,,,1,,0,8,,,,,,,,
2,28,18,247,3,,,,,1,,0,6,,,,,,,,
2,28,18,248,2,6,17,38,,4,38,1,,3.42,0.054,19-Aug-24,3.71,0.067,02-Sep-24,0,0
2,28,18,250,6,,,,,1,,0,9,,,,,,,,
2,28,18,251,4,10,23,,,3,,0,27,,,,,,,,
2,28,18,252,2,7,,,,2,,0,11,,,,,,,,
2,30,26,351,2,,,,,1,,0,6,,,,,,,,
2,30,26,352,,,,,,0,,0,2,,,,,,,,
2,30,26,353,4,,,,,1,,0,7,,,,,,,,
2,30,26,354,,,,,,0,,0,2,,,,,,,,
2,30,26,355,4,,,,,1,,0,7,,,,,,,,
2,30,26,357,5,9,,,,2,,0,17,,,,,,,,
2,30,26,359,,,,,,0,,0,9,,,,,,,,
2,30,26,361,4,,,,,1,,0,7,,,,,,,,
2,30,26,362,1,,,,,1,,0,6,,,,,,,,
2,30,26,363,3,,,,,1,,0,8,,,,,,,,
3,22,9,113,5,13,21,42,,4,42,0,51,3.49,0.064,21-Aug-24,,,,,
3,22,9,116,3,10,12,19,,4,41,1,,3.79,0.069,20-Aug-24,3.58,0.054,02-Sep-24,0,0
3,22,9,117,5,13,22,,,3,41,1,,3.65,0.064,20-Aug-24,3.39,0.05,02-Sep-24,0,0
3,22,9,118,5,,,,,1,,0,20,,,,,,,,
3,22,9,119,5,12,21,,,3,38,1,,3.54,0.06,19-Aug-24,3.53,0.064,27-Aug-24,0,0
3,22,9,120,5,2,22,,,3,,0,40,,,,,,,,
3,22,9,122,6,17,27,,,3,52,1,,3.78,0.068,31-Aug-24,,,,,
3,22,9,124,7,14,23,44,,4,44,1,,3.61,0.063,23-Aug-24,3.64,0.07,02-Sep-24,0,0
3,22,9,125,5,,,,,1,,0,7,,,,,,,,
3,22,9,126,7,14,26,,,3,,0,42,,,,,,,,
3,24,14,183,5,11,,,,2,,0,20,,,,,,,,
3,24,14,184,,12,44,,,2,44,1,,3.61,0.059,23-Aug-24,3.47,0.058,02-Sep-24,0,0
3,24,14,186,11,12,23,44,,4,44,1,,3.6,0.069,23-Aug-24,3.62,0.067,02-Sep-24,0,0
3,24,14,187,5,21,44,,,3,44,1,,3.53,0.068,23-Aug-24,3.67,0.079,02-Sep-24,0,0
3,24,14,189,4,10,18,32,,4,,0,38,,,,,,,,
3,24,14,190,5,11,19,43,,4,43,0,47,3.58,0.072,22-Aug-24,,,,,
3,24,14,191,8,20,40,42,,4,42,1,,3.36,0.061,21-Aug-24,3.76,0.079,02-Sep-24,0,0
3,24,14,192,6,16,33,,,3,33,1,,3.71,0.066,19-Aug-24,3.65,0.066,27-Aug-24,0,0
3,24,14,193,6,,,,,1,,0,11,,,,,,,,
3,24,14,194,17,,,,,1,,0,26,,,,,,,,
3,26,27,365,2,,,,,1,,0,10,,,,,,,,
3,26,27,366,4,16,22,,,3,,0,35,,,,,,,,
3,26,27,368,2,7,,,,2,,0,17,,,,,,,,
3,26,27,370,4,,,,,1,,0,5,,,,,,,,
3,26,27,371,3,,,,,1,,0,6,,,,,,,,
3,26,27,374,4,,,,,1,,0,9,,,,,,,,
3,26,27,375,5,7,20,,,3,38,1,,3.7,0.069,19-Aug-24,3.71,0.071,27-Aug-24,0,0
3,26,27,376,,,,,,0,,0,4,,,,,,,,
3,26,27,377,2,,,,,1,,0,10,,,,,,,,
3,26,27,378,4,10,16,,,3,,0,31,,,,,,,,
3,28,8,99,1,5,,,,2,,0,7,,,,,,,,
3,28,8,100,1,5,15,,,3,,0,15,,,,,,,,
3,28,8,103,,,,,,0,,0,8,,,,,,,,
3,28,8,104,2,,,,,1,,0,6,,,,,,,,
3,28,8,105,8,,,,,1,,0,15,,,,,,,,
3,28,8,106,2,7,14,,,3,,0,28,,,,,,,,
3,28,8,107,6,13,,,,2,,0,27,,,,,,,,
3,28,8,108,2,,,,,1,,0,5,,,,,,,,
3,28,8,109,4,,,,,1,,0,6,,,,,,,,
3,28,8,111,2,15,26,,,3,,0,28,,,,,,,,
3,28,23,309,5,,,,,1,,0,6,,,,,,,,
3,28,23,310,3,,,,,1,,0,6,,,,,,,,
3,28,23,311,3,,,,,1,,0,5,,,,,,,,
3,28,23,312,6,,,,,1,,0,7,,,,,,,,
3,28,23,313,5,,,,,1,,0,21,,,,,,,,
3,28,23,314,4,11,12,23,,4,,0,27,,,,,,,,
3,28,23,315,4,12,22,35,,4,35,0,36,3.51,0.059,,,,,,
3,28,23,316,3,11,,,,2,,0,15,,,,,,,,
3,28,23,319,4,8,16,,,3,,0,28,,,,,,,,
3,28,23,320,5,,,,,1,,0,6,,,,,,,,
3,30,2,15,,,,,,0,,0,4,,,,,,,,
3,30,2,16,4,,,,,1,,0,5,,,,,,,,
3,30,2,17,1,,,,,1,,0,6,,,,,,,,
3,30,2,19,1,5,,,,2,,0,6,,,,,,,,
3,30,2,20,3,7,13,,,3,,0,40,,,,,,,,
3,30,2,22,2,,,,,1,,0,5,,,,,,,,
3,30,2,23,3,,,,,1,,0,11,,,,,,,,
3,30,2,26,3,,,,,1,,0,5,,,,,,,,
3,30,2,27,3,9,16,,,3,,0,32,,,,,,,,
3,30,2,28,3,,,,,1,,0,5,,,,,,,,
3,30,30,407,3,10,,,,2,,0,16,,,,,,,,
3,30,30,409,3,12,,,,2,,0,13,,,,,,,,
3,30,30,410,,,,,,0,,0,7,,,,,,,,
3,30,30,413,3,7,,,,2,,0,10,,,,,,,,
3,30,30,414,1,5,,,,2,,0,8,,,,,,,,
3,30,30,415,5,8,21,,,3,,0,28,,,,,,,,
3,30,30,416,1,5,,,,2,,0,6,,,,,,,,
3,30,30,418,2,3,,,,2,,0,5,,,,,,,,
3,30,30,420,4,,,,,1,,0,7,,,,,,,,
3,30,30,417,5,,,,,1,,0,14,,,,,,,,
4,22,7,87,6,13,23,,,3,,0,35,,,,,,,,
4,22,7,88,6,16,,,,2,,0,39,,,,,,,,
4,22,7,89,12,20,,,,2,,0,37,,,,,,,,
4,22,7,91,8,12,19,,,3,,0,19,,,,,,,,
4,22,7,93,5,14,21,,,3,,0,34,,,,,,,,
4,22,7,94,12,23,,,,2,,0,39,,,,,,,,
4,22,7,95,10,19,,,,2,,0,19,,,,,,,,
4,22,7,96,7,19,,,,2,,0,31,,,,,,,,
4,22,7,97,4,6,17,,,3,,0,45,,,,,,,,
4,22,7,98,,,,,,0,,0,6,,,,,,,,
4,24,20,268,2,15,33,,,3,33,1,,3.21,0.058,19-Aug-24,3.45,0.059,27-Aug-24,0,0
4,24,20,270,4,13,24,,,3,,0,43,,,,,,,,
4,24,20,272,1,8,19,36,,4,36,1,,3.73,0.074,19-Aug-24,3.71,0.08,27-Aug-24,0,0
4,24,20,273,4,10,,,,2,,0,12,,,,,,,,
4,24,20,274,2,17,,,,2,,0,17,,,,,,,,
4,24,20,276,,,,,,0,,0,7,,,,,,,,
4,24,20,277,6,16,,,,2,,0,26,,,,,,,,
4,24,20,278,2,,,,,1,,0,5,,,,,,,,
4,24,20,279,7,,,,,1,,0,12,,,,,,,,
4,24,20,280,5,11,23,,,3,45,0,57,3.68,0.065,25-Aug-24,,,,,
4,26,34,463,3,8,20,,,3,,0,34,,,,,,,,
4,26,34,465,2,,,,,1,,0,14,,,,,,,,
4,26,34,466,,,,,,0,,0,5,,,,,,,,
4,26,34,467,5,10,,,,2,,0,29,,,,,,,,
4,26,34,469,3,,,,,1,,0,9,,,,,,,,
4,26,34,470,5,,,,,1,,0,7,,,,,,,,
4,26,34,472,1,2,8,,,3,,0,22,,,,,,,,
4,26,34,473,2,11,18,20,35,5,35,1,,3.62,0.062,19-Aug-24,3.6,0.065,27-Aug-24,1,0
4,26,34,474,1,,,,,1,,0,7,,,,,,,,
4,26,34,475,2,9,,,,2,35,1,,3.64,0.069,19-Aug-24,3.71,0.062,27-Aug-24,1,0
4,26,28,379,3,,,,,1,,0,5,,,,,,,,
4,26,28,381,3,12,,,,2,,0,14,,,,,,,,
4,26,28,384,5,12,19,,,3,,0,24,,,,,,,,
4,26,28,385,1,7,,,,2,,0,9,,,,,,,,
4,26,28,386,4,5,13,19,,4,,0,32,,,,,,,,
4,26,28,387,4,,,,,1,,0,8,,,,,,,,
4,26,28,388,1,,,,,1,,0,6,,,,,,,,
4,26,28,389,,,,,,0,,0,4,,,,,,,,
4,26,28,390,4,14,,,,2,,0,30,,,,,,,,
4,26,28,391,,,,,,0,,0,5,,,,,,,,
4,28,35,477,3,11,,,,2,,0,20,,,,,,,,
4,28,35,479,2,8,17,,,3,,0,17,,,,,,,,
4,28,35,480,1,6,18,,,3,35,1,,3.55,0.064,19-Aug-24,3.62,0.067,27-Aug-24,0,0
4,28,35,481,12,17,,,,2,,0,17,,,,,,,,
4,28,35,482,2,,,,,1,,0,18,,,,,,,,
4,28,35,484,,,,,,0,,0,6,,,,,,,,
4,28,35,485,3,,,,,1,,0,7,,,,,,,,
4,28,35,488,3,9,17,,,3,,0,33,,,,,,,,
4,28,35,489,5,,,,,1,,0,9,,,,,,,,
4,28,35,490,3,13,,,,2,,0,15,,,,,,,,
4,30,4,43,3,,,,,1,,0,4,,,,,,,,
4,30,4,44,,,,,,0,,0,4,,,,,,,,
4,30,4,45,3,,,,,1,,0,4,,,,,,,,
4,30,4,46,,,,,,0,,0,3,,,,,,,,
4,30,4,49,3,,,,,1,,0,7,,,,,,,,
4,30,4,50,,,,,,0,,0,2,,,,,,,,
4,30,4,52,4,,,,,1,,0,6,,,,,,,,
4,30,4,53,1,,,,,1,,0,4,,,,,,,,
4,30,4,55,,,,,,0,,0,4,,,,,,,,
4,30,4,56,,,,,,0,,0,4,,,,,,,,
4,30,12,155,1,4,11,19,,4,,0,31,,,,,,,,
4,30,12,156,2,10,15,,,3,,0,18,,,,,,,,
4,30,12,158,2,,,,,1,,0,3,,,,,,,,
4,30,12,159,2,,,,,1,,0,7,,,,,,,,
4,30,12,160,2,,,,,1,,0,5,,,,,,,,
4,30,12,161,,,,,,0,,0,2,,,,,,,,
4,30,12,162,4,,,,,1,,0,6,,,,,,,,
4,30,12,163,4,,,,,1,,0,6,,,,,,,,
4,30,12,164,1,5,13,,,3,,0,14,,,,,,,,
4,30,12,168,4,,,,,1,,0,6,,,,,,,,
5,22,25,337,3,14,29,,,3,47,1,,3.54,0.064,28-Aug-24,3.59,0.068,10-Sep-24,,
5,22,25,338,6,19,,,,2,44,0,56,3.63,0.063,25-Aug-24,,,,,
5,22,25,339,,,,,,0,,0,8,,,,,,,,
5,22,25,340,2,,,,,1,,0,5,,,,,,,,
5,22,25,341,,,,,,0,,0,6,,,,,,,,
5,22,25,342,1,3,,,,2,,0,4,,,,,,,,
5,22,25,344,4,14,23,,,3,49,0,61,3.58,0.07,30-Aug-24,,,,,
5,22,25,346,5,,,,,1,,0,12,,,,,,,,
5,22,25,348,7,14,26,,,3,49,1,,3.73,0.075,30-Aug-24,,,,,
5,22,25,350,,,,,,0,,0,4,,,,,,,,
5,24,5,57,2,11,20,38,,4,,0,38,3.22,0.065,,,,,,
5,24,5,58,10,12,,,,2,,0,22,,,,,,,,
5,24,5,59,4,23,,,,2,47,0,60,3.45,0.064,28-Aug-24,,,10-Sep-24,,
5,24,5,61,4,12,21,,,3,44,0,56,3.62,0.074,25-Aug-24,,,10-Sep-24,,
5,24,5,62,4,17,34,,,3,34,1,,3.83,0.069,19-Aug-24,3.64,0.06,27-Aug-24,0,0
5,24,5,63,3,13,24,,,3,43,0,60,3.56,0.063,24-Aug-24,,,,,
5,24,5,64,3,10,17,,,3,,0,43,,,,,,,,
5,24,5,67,4,15,24,40,,4,40,1,,3.69,0.073,21-Aug-24,3.78,0.076,02-Sep-24,0,0
5,24,5,68,,,,,,0,,0,6,,,,,,,,
5,24,5,69,9,19,,,,2,,0,34,,,,,,,,
5,26,22,295,5,14,,,,2,,0,43,,,,,,,,
5,26,22,296,2,8,15,,,3,,0,38,,,,,,,,
5,26,22,297,,,,,,0,,0,8,,,,,,,,
5,26,22,298,,,,,,0,,0,5,,,,,,,,
5,26,22,300,3,11,19,,,3,,0,33,,,,,,,,
5,26,22,302,2,8,18,,,3,,0,19,,,,,,,,
5,26,22,303,3,8,17,18,,4,36,1,,3.47,0.058,19-Aug-24,3.44,0.061,27-Aug-24,0,0
5,26,22,305,5,10,17,35,,4,35,0,36,3.68,0.068,,,,,,
5,26,22,306,2,,,,,1,,0,4,,,,,,,,
5,26,22,308,,,,,,0,,0,3,,,,,,,,
5,26,15,198,5,,,,,1,,0,10,,,,,,,,
5,26,15,199,8,15,16,,,3,,0,34,,,,,,,,
5,26,15,200,5,11,17,,,3,,0,20,,,,,,,,
5,26,15,202,5,10,,,,2,,0,17,,,,,,,,
5,26,15,203,2,11,20,,,3,,0,45,,,,,,,,
5,26,15,205,3,8,16,26,,4,,0,34,,,,,,,,
5,26,15,207,4,10,,,,2,,0,19,,,,,,,,
5,26,15,208,11,,,,,1,,0,14,,,,,,,,
5,26,15,209,12,,,,,1,,0,19,,,,,,,,
5,26,15,210,8,15,,,,2,39,1,,3.73,0.058,20-Aug-24,3.74,0.068,02-Sep-24,0,0
5,28,29,393,,,,,,0,,0,5,,,,,,,,
5,28,29,394,4,,,,,1,,0,5,,,,,,,,
5,28,29,395,3,,,,,1,,0,4,,,,,,,,
5,28,29,396,,,,,,0,,0,4,,,,,,,,
5,28,29,397,4,,,,,1,,0,12,,,,,,,,
5,28,29,398,4,12,26,,,3,,0,37,,,,,,,,
5,28,29,400,,,,,,0,,0,4,,,,,,,,
5,28,29,404,2,,,,,1,,0,4,,,,,,,,
5,28,29,405,,,,,,0,,0,4,,,,,,,,
5,28,29,406,,,,,,0,,0,3,,,,,,,,
5,28,19,253,,,,,,0,,0,3,,,,,,,,
5,28,19,254,2,,,,,1,,0,9,,,,,,,,
5,28,19,255,4,12,,,,2,,0,14,,,,,,,,
5,28,19,256,1,16,,,,2,,0,25,,,,,,,,
5,28,19,257,4,,,,,1,,0,8,,,,,,,,
5,28,19,258,2,3,11,19,,4,,0,29,,,,,,,,
5,28,19,260,5,,,,,1,,0,15,,,,,,,,
5,28,19,261,1,,,,,1,,0,3,,,,,,,,
5,28,19,263,,,,,,0,,0,4,,,,,,,,
5,28,19,266,1,8,,,,2,,0,9,,,,,,,,
5,30,6,71,10,17,,,,2,,0,22,,,,,,,,
5,30,6,72,,,,,,0,,0,2,,,,,,,,
5,30,6,73,,,,,,0,,0,3,,,,,,,,
5,30,6,74,,,,,,0,,0,3,,,,,,,,
5,30,6,76,,,,,,0,,0,3,,,,,,,,
5,30,6,77,1,8,,,,2,,0,9,,,,,,,,
5,30,6,78,2,,,,,1,,0,3,,,,,,,,
5,30,6,79,,,,,,0,,0,2,,,,,,,,
5,30,6,80,2,,,,,1,,0,3,,,,,,,,
5,30,6,83,4,,,,,1,,0,5,,,,,,,,
